IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"54.217.70.23","*.dev.ct.vpsvc.com","","","","","*.dev.ct.vpsvc.com","","false"
"54.217.69.249","*.em.verintcloudservicesaws.com","","","","","*.em.verintcloudservicesaws.com|em.verintcloudservicesaws.com","","false"
"54.217.70.19","bi3.amazee.io","","","","","bi3.amazee.io","","false"
"54.217.70.1","*.thefloow.net","THE FLOOW LIMITED","GB","","South Yorkshire","*.thefloow.net|thefloow.net","","false"
"54.217.70.32","*.my-prtg.com","Paessler AG","DE","Nürnberg","","*.my-prtg.com|my-prtg.com","","false"
"54.217.70.41","*.assentcompliance.eu","","","","","*.assentcompliance.eu","","false"
"54.217.70.49","*.zeppelin.sensai.a2z.com","Amazon.com Inc.","US","Seattle","Washington","us-east-1.alpha.zeppelin.sensai.a2z.com|*.us-east-1.alpha.zeppelin.sensai.a2z.com|us-east-1.beta.zeppelin.sensai.a2z.com|*.us-east-1.beta.zeppelin.sensai.a2z.com|us-east-1.prod.zeppelin.sensai.a2z.com|*.us-east-1.prod.zeppelin.sensai.a2z.com|us-west-2.prod.zeppelin.sensai.a2z.com|*.us-west-2.prod.zeppelin.sensai.a2z.com|eu-west-1.prod.zeppelin.sensai.a2z.com|*.eu-west-1.prod.zeppelin.sensai.a2z.com|*.zeppelin.sensai.a2z.com","","false"
"54.217.70.40","buguroo.com","","","","","buguroo.com|*.buguroo.com","","false"
"54.217.70.42","kube-apiserver","","","","","c7b7e1fb3196074dd85d5651337c1f2d.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-166-77.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.36.10|10.0.166.77","false"
"54.217.70.58","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.70.64","swe.account.a2d-dev.tv","","","","","swe.account.a2d-dev.tv","","false"
"54.217.70.61","delio.online","","","","","delio.online|*.delio.online","","false"
"54.217.70.67","kube-apiserver","","","","","da68779d71eddd840b3e1d099e732a03.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-160-139.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|100.66.98.118|10.0.160.139","false"
"54.217.70.74","nonprod-cca-service.safeguardglobal.com","","","","","nonprod-cca-service.safeguardglobal.com|*.nonprod-cca-service.safeguardglobal.com","","false"
"54.217.70.69","*.adobe-campaign.com","Adobe Inc.","US","San Jose","California","*.adobe-campaign.com","","false"
"54.217.70.82","preprod.eu-west-1.asc.ebs.aws.dev","","","","","preprod.eu-west-1.asc.ebs.aws.dev","","false"
"54.217.70.95","data-engineering.atlantis.pe.services-prd.underwriteme.co.uk","","","","","data-engineering.atlantis.pe.services-prd.underwriteme.co.uk","","false"
"54.217.70.90","*.samsungiots.com","","","","","*.samsungiots.com","","false"
"54.217.70.86","cards.ebbene.org","","","","","cards.ebbene.org","","false"
"54.217.70.89","prelive.dxcockpit.com","Volkswagen AG","DE","Wolfsburg","Niedersachsen","prelive.dxcockpit.com|www.prelive.dxcockpit.com|tableau.prelive.dxcockpit.com|www.tableau.prelive.dxcockpit.com","","false"
"54.217.70.105","makingmoves.e-psychometrics.com","","","","","makingmoves.e-psychometrics.com","","false"
"54.217.70.113","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.217.70.106","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.70.123","getblindspot.com","","","","","getblindspot.com|*.getblindspot.com","","false"
"54.217.70.142","develop.getirapi.com","","","","","develop.getirapi.com|*.development.getirapi.com|*.fooddev.getirapi.com|*.develop.getirapi.com","","false"
"54.217.70.139","marinedirectory.ybw.com","","","","","marinedirectory.ybw.com","","false"
"54.217.70.138","*.cloud-newsint.co.uk","","","","","*.cloud-newsint.co.uk|login.thescottishsun.co.uk|login.virginradio.co.uk|login.thesun.ie|login.the-tls.co.uk|login.talksport.com|login.dreamteamfc.com|login.0x69416d.co.uk|login.the-sun.com|login.thesun.co.uk|login.wireless.radio|login.thetimes.co.uk","","false"
"54.217.70.144","*.eu-content.swrve.com","","","","","*.eu-content.swrve.com|*.eu-content-elb.swrve.com","","false"
"54.217.70.133","devops.qad.com","","","","","devops.qad.com|*.devops.qad.com","","false"
"54.217.70.147","customeros.ai","","","","","customeros.ai|*.customeros.ai","","false"
"54.217.70.168","p1-acc.mbgaws.net","","","","","p1-acc.mbgaws.net|*.p1-acc.mbgaws.net","","false"
"54.217.70.167","kube-apiserver","","","","","6b9a7fc9c59155f6b86c88537d6ad4d1.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-41-229.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.189.213|172.16.41.229","false"
"54.217.70.179","*.limone.xyz","","","","","*.limone.xyz|*.dev-auth.limone.xyz|*.dev-delivery.limone.xyz|*.dev-polaris.limone.xyz|*.dev-edi-parser.limone.xyz|*.dev-rating-cronjob.limone.xyz|*.dev-geocaching.limone.xyz|*.dev-rating.limone.xyz|*.dev-notification.limone.xyz|*.dev-order.limone.xyz","","false"
"54.217.70.180","*.gbp-qacore.isp-pub.starsops.com","","","","","*.gbp-qacore.isp-pub.starsops.com","","false"
"54.217.70.190","instant.skideo.nl","","","","","instant.skideo.nl|*.instant.skideo.nl","","false"
"54.217.70.181","cogsworthstaging.com","","","","","cogsworthstaging.com|api.cogsworthstaging.com","","false"
"54.217.70.211","kube-apiserver","","","","","a37c20dd16a272b091530cf8e8dfdb30.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-45-99.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.148.55.218|172.16.45.99","false"
"54.217.70.203","kube-apiserver","","","","","9b99c6f10e04e2e90221f05cea4070ea.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-55-177.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.130.67.231|172.16.55.177","false"
"54.217.70.206","*.maintain.integral.co.uk","Integral UK Ltd","GB","London","","*.maintain.integral.co.uk|maintain.integral.co.uk","","false"
"54.217.70.210","mcstaging.nvgcommerce.com","Magento Cloud","FR","","","","","true"
"54.217.70.239","directtechnologyservices-hk.com","","","","","directtechnologyservices-hk.com|www.directtechnologyservices-hk.com","","false"
"54.217.70.245","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.70.232","sitecertapp.com","","","","","sitecertapp.com|*.sitecertapp.com","","false"
"54.217.70.242","*.shared-env.com","","","","","*.shared-env.com","","false"
"54.217.70.246","isf.statsperform.com","","","","","isf.statsperform.com|*.isf.statsperform.com","","false"
"54.217.70.251","fuseuniversal.com","","","","","fuseuniversal.com|*.fuseuniversal.com","","false"
"54.217.71.0","*.webio.com","","","","","*.webio.com","","false"
"54.217.71.13","*.avanti.co.uk","","","","","*.avanti.co.uk","","false"
"54.217.71.8","example.com","","","","","example.com|www.example.com","127.0.0.1","true"
"54.217.71.17","*.clickup.com","","","","","*.clickup.com","","false"
"54.217.71.31","rolfreisen.com","","","","","rolfreisen.com","","false"
"54.217.71.37","pitch.footballaddicts.com","","","","","pitch.footballaddicts.com|*.pitch.footballaddicts.com","","false"
"54.217.71.46","*.huutokaupat.com","","","","","*.huutokaupat.com|huutokaupat.com","","false"
"54.217.71.57","*.qa11.ucaspio.com","","","","","*.qa11.ucaspio.com|*.qa14.ucaspio.com|*.qa15.ucaspio.com|*.qa19.ucaspio.com|*.qa18.ucaspio.com|*.qa20.ucaspio.com|*.qa12.ucaspio.com|*.qa16.ucaspio.com|*.qa13.ucaspio.com|*.qa17.ucaspio.com","","false"
"54.217.71.61","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.71.72","ingest.demo.degould.com","","","","","ingest.demo.degould.com","","false"
"54.217.71.62","*.qonqord.cloud","","","","","*.qonqord.cloud|qonqord.cloud","","false"
"54.217.71.79","hash-decrypt.io","","","","","hash-decrypt.io|*.hash-decrypt.io|www.hash-decrypt.io|dev.hash-decrypt.io|api.hash-decrypt.io","","false"
"54.217.71.89","kube-apiserver","","","","","0677c3f23061e48c974e5c4098926e85.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-184-183.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.42.11.209|172.16.184.183","false"
"54.217.71.107","osis.online","","","","","osis.online|*.osis.online","","false"
"54.217.71.97","*.quality-records.com","","","","","*.quality-records.com|quality-records.com","","false"
"54.217.71.100","luminex.be","","","","","luminex.be|*.luminex.be|lumicloud.be|*.lumicloud.be","","false"
"54.217.71.90","kube-apiserver","","","","","711456e9fe15a32de43fedbc24f606b9.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-103-40.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.17.1.198|10.0.103.40","false"
"54.217.71.124","poi.qa.api.wfscloud.co.za","","","","","poi.qa.api.wfscloud.co.za","","false"
"54.217.71.119","*.awmsolutions.it","","","","","*.awmsolutions.it|awmsolutions.it","","false"
"54.217.71.133","*.reporting.isc.svy.do","","","","","*.reporting.isc.svy.do|*.backstage.isc.svy.do","","false"
"54.217.71.136","*.www.morethan.com","RSA Insurance Group Limited","GB","","London, City of","*.www.morethan.com|www.morethan.com","","false"
"54.217.71.138","api0.fyrc.eu","","","","","api0.fyrc.eu","","false"
"54.217.71.132","api.kakeibo.so","","","","","api.kakeibo.so","","false"
