IP Address,Common Name

34.209.35.198:443,redirect.qa.tr.ee
34.218.185.168:443,redirect.qa.tr.ee
44.228.51.242:443,redirect.qa.tr.ee
44.238.88.194:443,redirect.qa.tr.ee
52.13.60.48:443,*.tr.ee
52.37.95.159:443,*.tr.ee
52.88.166.191:443,redirect.qa.tr.ee
54.185.127.157:443,redirect.qa.tr.ee
54.191.53.202:443,*.tr.ee




